sno,description,field
1166,Designed and managed IAM systems to ensure appropriate access control and authentication.,cyber security
1167,Implemented multi-factor authentication (MFA) and single sign-on (SSO) solutions.,cyber security
1168,Conducted security awareness training for employees and stakeholders to promote security best practices.,cyber security
1169,Fostered a security-conscious culture within the organization.,cyber security
1170,Configured and managed firewall rules and policies.,cyber security
1171,Deployed and maintained IDS/IPS systems for proactive threat mitigation.,cyber security
1172,Implemented encryption mechanisms to protect sensitive data at rest and in transit.,cyber security
1173,Deployed DLP solutions to monitor and prevent data leakage.,cyber security
1174,"Ensured the security of cloud environments (e.g., AWS, Azure, Google Cloud) through configuration, monitoring, and compliance checks.",cyber security
1175,Implemented security controls for serverless and containerized applications.,cyber security
1176,"Led incident response efforts, including containment, eradication, and recovery.",cyber security
1177,Collaborated with law enforcement and legal teams when necessary.,cyber security
1178,Utilized threat intelligence feeds and conducted risk assessments to proactively identify emerging threats.,cyber security
1179,Developed risk mitigation strategies and countermeasures.,cyber security
1180,"Maintained comprehensive documentation of security policies, incidents, and remediation activities.",cyber security
1181,Prepared and presented security reports to executives and stakeholders.,cyber security
1182,Offered standby support for cyber security incident response in case of intrusion detection and implemented vulnerability assessment.,cyber security
1183,Worked in close coordination with the information security analyst and other stakeholders related to Cyber Security related matters to identify security vulnerabilities.,cyber security
1184,"Dealt with client concerns related to project execution, the impact on production services and quality of deliverables.",cyber security
1185,"Monitored application security projects such as quality and timely delivery, consolidated reports and compared multiple vulnerabilities and different automated tools.",cyber security
1186,"Made a note of any breakthrough firewalls and other security applications, developed and implemented information security standards, guidelines, and procedures.",cyber security
1187,"Suggested recommendations for security threats, created security policies and ensured they were implemented with support and mitigation during implementation.",cyber security
1188,"Provided security during software systems, networks, and data centers’ development stages.",cyber security
1189,Examined and evaluated security strategies and defenses and created new defensive systems and protocols.,cyber security
1190,Examined the defensive systems and security architecture and provided reports based on test results.,cyber security
1191,"Participated in upgrading security measures for data protection which involved planning, implementing, managing, monitoring and securing the systems.",cyber security
1192,Ensured that data and infrastructure were protected by enabling the appropriate security controls using appropriate security software.,cyber security
1193,Supported the cyber security team in presentation and demonstration of value to prospective and existing clients.,cyber security
1194,Implemented the information security infrastructure and identified potential vulnerabilities that could lead to cyber-attacks.,cyber security
1195,Installed physical access controls that reduced the security risks by 25%.,cyber security
1196,Performed ethical hacking to determine which areas needed security to be upgraded to avoid future breaches.,cyber security
1197,Worked with development team to harden business firewall.,cyber security
1198,"Planned, developed, and implemented a robust backup system for all vital company data, reducing data loss to zero.",cyber security
1199,"Installed system of physical access controls including POLP, badges, laptop locks, password vaults, and biometrics to cut risk 20%.",cyber security
1200,"Cut sniffing and spoofing attacks to zero by implementing scheduled updates for Wi-Fi software, firmware, and hardware.",cyber security
1201,Enforced regular password changes from all employees.,cyber security
1202,Monitored and secured 30+ websites with 0 successful attacks.,cyber security
1203,Worked with clients to find best cost-effective ways to minimize security risk. Helped slash risks by an average of 30%.,cyber security
1204,"Lowered malware threats by 40% with use of ad blockers, switching users to Google Chrome, and implementing automatic updates.",cyber security
1205,Oversee cloud infrastructure and security of company servers,cyber security
1247,Recognize 250+ new viruses and malware while safeguarding and observing 60+ websites without any major attacks,cyber security
1248,Slash security risks by 20% through installation of physical access controls,cyber security
1277,Analyzed and presented vulnerability findings to help strategize the implementation of vendor patches (on both Windows and Linux operating systems).,cyber security
1250,"Provided information security and threat management for a $13.6 billion banking institution with 150+ financial centers, mortgage centers, and 3000+ employees",cyber security
1251,"Implemented multilayer security system for the institution, including enhanced anti-virus, anti-spam, and anti-spyware software, which reduced malware risk by 40%",cyber security
1252,Applied and managed advanced patch management system for 2500+ desktop computers/workstations and 300+ file servers,cyber security
1253,"Worked with internal and external audit groups to resolve regulatory issues to maintain compliance with regulatory requirements, including Sarbanes–Oxley reporting",cyber security
1254,Regulated access to safeguard information in files by monitoring the use of data files,cyber security
1255,"Conducted security assessments of institution’s site containing 50,000+ users",cyber security
1256,"Ensure compliance with cyber security policies and procedures regarding documentation, labeling, asset tracking, and quality assurance",cyber security
1283, Performed comprehensive investigations of cyber security breaches.,cyber security
1258,"Assist in 50+ cybersecurity sustainment activities, including hardware and software change administration, account supervision, media protection, and user interface inspection",cyber security
1276,Protected access to sensitive data by monitoring file usage.,cyber security
1260,Administered daily security of company databases and performed other duties as assigned by internship manager,cyber security
1261,"Conducted 15+ incident response investigations monthly for Classified Incidents, and ensured all classified systems complied with cybersecurity regulations",cyber security
1275,Monitored and secured 20+ websites with 0 successful attacks.,cyber security
1263,"Defined, developed, and operationalized 7 security metrics while employing classified systems to help protect data on running devices",cyber security
1264,"Experience with penetration testing, architecture assessments, and vulnerability assessments",cyber security
1265,Strong understanding of offensive and defensive cybersecurity concepts,cyber security
1274,"Closely monitored cybersecurity trends in hardware, software, and protocol vulnerabilities and researched offensive and defensive tactics, techniques and procedures (TTP).",cyber security
1267,"Working knowledge of operating systems (Linux, Microsoft Windows) and cloud infrastructure",cyber security
1288, Updated cyber security protocol and developed effective training procedures.,cyber security
1289, Educated management on how to prevent or minimize cyber security attacks.,cyber security
1273,Collaborated with management and stakeholders to identify and document system security requirements.,cyber security
1271,Performed audits on IT and OT systems to ensure compliance with cyber security policies (internal and regulatory).,cyber security
1290,Identifying and remedying security threats and vulnerabilities,cyber security
1291,"Developing and maintaining security policies, standards, and procedures",cyber security
1292,Monitoring and analyzing system logs for security issues,cyber security
1305,Performed vulnerability scans and penetration testing to identify and rectify security issues.,cyber security
1296,Conducting security audits and penetration tests,cyber security
1297,Providing security training and awareness to staff,cyber security
1298,Investigating security breaches and other cyber security incidents,cyber security
1299,Highly motivated Cyber Security Engineer with 10+ years of experience in network security and digital forensics.,cyber security
1300,Experienced Cyber Security Engineer with 7+ years of experience in developing and maintaining secure IT systems.,cyber security
1301,Skilled Cyber Security Engineer with 5+ years of experience in assessing and mitigating security threats.,cyber security
1302,Competent Cyber Security Engineer with 4+ years of experience in identifying and resolving security vulnerabilities.,cyber security
1303,Seasoned Cyber Security Engineer with 8+ years of experience in designing and implementing secure networks.,cyber security
1307,"Monitored, analyzed and responded to security events, incidents and alerts.",cyber security
1518,"Collected and analyzed data, created machine learning algorithms, and maintained and managed large databases.",machine learning 
1522,"Work with Data Scientists and Product Managers to frame a problem, both mathematically and within the business. ",machine learning 
1523,Deployed validated algorithms to  RTB system and developed techniques for monitoring and visualizing the performance of all deployed algorithms.,machine learning 
1524,Worked closely with development teams to ensure accurate integration of machine learning models into firm platforms. ,machine learning 
1525,"Developed high impact capabilities in data science and machine learning, and applied them to create new data-driven insights. ",machine learning 
1526,"Created innovative and systematic investment signals and strategies based on a rigorous, peer-reviewed research process.",machine learning 
1527,Developed a machine learning algorithm that increased the accuracy of predictions by 5%.,machine learning 
1528,Implemented a new method for data pre-processing which decreased training time by 20%.,machine learning 
1529,Created and trained a neural network that improved classification accuracy by 10%.,machine learning 
1530,Wrote custom code to improve the efficiency of an existing machine learning algorithm by 15%.,machine learning 
1531,Presented at international conference on methods for improving performance of predictive models.,machine learning 
1532,Led the development of a machine learning algorithm that increased the accuracy of predictions by 5%.,machine learning 
1533,Implemented a new method for training data that resulted in a 10% decrease in error rate.,machine learning 
1534,Developed an innovative technique for dealing with missing data that improved prediction accuracy by 2%.,machine learning 
1535,"Created and implemented several custom algorithms to solve unique problem sets, resulting in more accurate predictions across multiple datasets.",machine learning 
1536,"Successfully engineered solutions to big data problems, allowing for analysis of larger datasets and improved performance on predictive models.",machine learning 
1537,Developed a machine learning algorithm that increased the accuracy of predictions by 5%.,machine learning 
1538,Trained a neural network to achieve 90% accuracy on a classification task.,machine learning 
1539,Implemented a support vector machine that achieved 75% accuracy on a regression task.,machine learning 
1540,Designed and implemented an unsupervised learning algorithm that decreased the error rate by 10%.,machine learning 
